"","1-TDPneg","1-TDPpos","2-TDPneg","2-TDPpos","3-TDPneg","3-TDPpos","4-TDPneg","4-TDPpos","5-TDPneg","5-TDPpos","6-TDPneg","6-TDPpos","7-TDPneg","7-TDPpos"
"AFF2",6624,9604,6217,10947,3612,6665,8755,13396,7245,12582,4058,7443,4729,8205
"ALG1L9P",195,175,268,282,203,255,345,344,244,265,414,478,196,181
"BMS1P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C12orf79",798,461,1329,1360,1226,981,1653,2333,1146,703,1951,1672,1090,584
"C17orf100",81,48,62,103,36,29,62,125,98,70,62,45,15,10
"C2orf15",7730,6616,7026,7639,6590,7002,8071,7207,10245,10618,6082,6175,7893,7839
"C6orf165",615,632,947,955,834,1157,946,885,1070,938,752,775,551,988
"CCDC7",6149,6486,9273,11774,7907,9627,9619,10844,11958,12060,7869,9673,7743,11672
"CELF6",567,498,712,423,701,384,894,570,848,696,866,409,568,233
"CFHR2",1,8,3,7,13,4,2,33,13,10,5,13,3,3
"CLN3",620,619,283,334,717,612,363,587,671,611,344,301,489,569
"CLRN1-AS1",168,189,270,193,181,133,50,196,537,247,430,249,330,409
"CRIP1",9,14,15,19,21,15,37,96,16,19,5,11,8,12
"CYB561D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DBET",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DUXAP8",231,187,318,282,194,194,826,525,745,425,399,377,898,913
"ECSCR",3,3,1,6,11,2,0,1,3,3,2,0,1,12
"ELFN2",3263,2869,3482,4665,3110,3353,4606,4533,3576,4004,3063,3408,2968,2806
"ENSG00000000003",7,16,41,44,6,26,97,68,32,37,29,39,38,23
"ENSG00000000005",15,14,7,33,3,5,0,0,15,26,20,15,8,154
"ENSG00000000419",1109,1291,1644,1635,1472,1329,1326,2362,1669,1600,1968,1659,1406,1398
"ENSG00000000457",1085,1002,1612,2510,1328,1472,1464,2196,1571,1385,1572,1690,794,947
"ENSG00000000460",670,684,1624,1969,1376,1555,1388,1927,1112,1284,2135,2386,555,1216
"ENSG00000000938",0,7,15,32,6,2,12,1,4,4,5,7,14,7
"ENSG00000000971",21,24,16,35,7,23,14,82,42,130,12,31,52,11
"ENSG00000001036",80,102,131,238,66,141,48,199,203,183,107,125,247,142
"ENSG00000001084",1183,1338,2008,2464,1779,1624,1466,2364,1704,1524,1678,1614,922,1424
"ENSG00000001167",141,110,91,234,96,195,282,219,139,248,165,211,55,95
"ENSG00000001460",873,960,1032,1364,1110,1239,1095,1199,1162,963,955,977,1058,995
"ENSG00000001461",2012,2410,1807,3147,1865,2647,2322,3389,2251,2399,1802,1903,1235,1986
"ENSG00000001497",1972,1682,3916,3972,4636,3461,4355,4714,3253,3754,4395,3851,5988,6988
"ENSG00000001561",501,590,996,1313,368,506,1016,1276,913,1115,689,773,403,479
"ENSG00000001617",54,47,10,22,40,43,13,39,19,38,16,40,20,69
"ENSG00000001626",29,87,114,163,139,113,146,148,111,141,130,168,75,54
"ENSG00000001629",10244,10921,12389,14346,11249,12950,12942,14585,13001,13017,12814,14057,10228,13559
"ENSG00000001630",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001631",3464,3152,4425,5150,3737,3645,3821,4357,5612,5670,4269,4489,3321,2995
"ENSG00000002016",2019,1559,2338,2915,2432,2566,3154,3521,2685,2406,2537,2452,2368,1772
"ENSG00000002079",135,133,193,407,227,319,217,522,186,241,301,441,231,291
"ENSG00000002330",6,8,9,11,34,25,29,30,5,2,10,5,16,8
"ENSG00000002549",80,81,340,337,219,182,146,323,247,128,348,159,206,53
"ENSG00000002586",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000002587",2510,3022,1343,3636,974,2015,815,2373,1660,2613,1190,1885,1193,2329
"ENSG00000002726",3,9,5,0,18,4,22,0,11,8,16,6,2,5
"ENSG00000002745",34,39,10,88,29,115,26,289,41,86,34,142,56,86
"ENSG00000002746",59678,57450,58047,65614,55806,51300,58470,60501,60006,59474,58512,55925,50713,63242
"ENSG00000002822",5801,4387,3548,3763,3754,2765,2850,3817,5479,5060,3448,3280,2272,2808
"ENSG00000002834",1234,1074,1114,1483,1532,1548,2034,1959,1459,1341,1129,975,1787,1211
"ENSG00000002919",166,133,239,281,229,297,354,130,213,245,171,117,87,150
"ENSG00000002933",4,5,1,2,1,8,19,14,3,9,0,4,3,0
"ENSG00000003056",291,393,725,1133,542,549,907,1210,538,493,692,698,422,405
"ENSG00000003096",708,975,633,1780,578,1461,826,1894,1156,1847,510,1376,1199,1351
"ENSG00000003137",55,152,59,327,143,230,164,373,60,75,78,137,14,298
"ENSG00000003147",6790,6161,13672,15827,12403,12323,12063,13841,10946,9716,16142,15148,7579,10187
"ENSG00000003249",337,373,213,406,284,354,572,399,313,320,374,345,284,215
"ENSG00000003393",6614,5671,7804,9457,6786,7554,8369,9053,9980,8026,7392,8017,4042,5569
"ENSG00000003400",62,32,49,39,72,85,136,205,83,30,17,47,21,23
"ENSG00000003402",1154,883,1255,1255,1774,1147,2435,2207,1580,1467,1278,1078,1300,1120
"ENSG00000003436",56,22,46,44,23,27,18,27,62,72,60,56,18,58
"ENSG00000003509",903,828,1517,1752,2064,1905,2122,1786,1178,1047,1682,1515,2437,2597
"ENSG00000003756",2257,1991,3442,3663,3089,2691,2684,3055,3209,2670,3908,2993,2573,1994
"ENSG00000003987",6209,5960,9528,10298,8587,8386,8788,10264,9289,8320,12420,10366,6927,7118
"ENSG00000003989",172,314,16,652,11,501,940,874,250,659,21,383,92,587
"ENSG00000004059",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000004139",434,483,533,634,736,795,931,1445,557,551,489,462,453,469
"ENSG00000004142",289,283,485,599,625,636,632,761,394,318,517,383,355,496
"ENSG00000004399",1599,605,1438,1010,1703,1011,1843,1035,1659,1051,1422,991,1656,1202
"ENSG00000004455",112,70,186,243,232,206,137,367,178,130,192,136,128,195
"ENSG00000004468",75,60,82,62,119,104,79,263,216,179,65,85,310,88
"ENSG00000004478",114,117,104,175,212,219,88,69,138,187,95,148,65,91
"ENSG00000004487",1,2,2,7,7,3,0,6,5,2,4,2,1,1
"ENSG00000004534",8180,6245,11186,11666,12249,11398,14082,12112,11081,9499,10088,9525,10029,10455
"ENSG00000004660",1684,1009,1989,1645,1856,1248,2213,1734,1816,1704,1754,1210,1339,1340
"ENSG00000004700",276,384,616,832,279,323,345,243,398,474,616,641,205,305
"ENSG00000004766",6633,6988,7938,8733,6823,6985,4990,6021,9548,9295,9983,9780,4789,7450
"ENSG00000004776",50,38,1,9,9,12,2,5,25,33,6,9,8,53
"ENSG00000004777",288,217,449,341,603,433,750,1004,433,529,508,324,324,355
"ENSG00000004779",432,348,554,545,714,875,1212,700,381,369,455,413,756,931
"ENSG00000004799",11,28,18,69,24,27,340,102,28,79,17,64,38,39
"ENSG00000004809",0,2,16,5,3,2,21,0,16,6,45,24,17,2
"ENSG00000004838",3,2,0,1,1,1,0,0,1,0,2,0,1,1
"ENSG00000004846",103,178,18,184,20,140,53,122,30,194,16,152,38,158
"ENSG00000004848",54,143,6,640,7,489,94,857,109,291,19,563,79,352
"ENSG00000004864",2385,2725,3127,4390,2473,3215,4720,3999,3211,3510,2550,2844,2928,3113
"ENSG00000004866",9107,8821,10452,12053,8915,9951,10518,10988,10799,10266,12193,10785,6695,8427
"ENSG00000004897",4788,4586,6660,6930,5969,5656,9384,7843,6929,6104,8393,6999,6254,5545
"ENSG00000004939",11,6,1,0,5,3,2,1,11,2,10,3,2,17
"ENSG00000004948",3,1,1,39,3,7,4,14,1,21,7,25,2,8
"ENSG00000004961",160,132,199,371,86,143,104,309,157,168,188,177,91,117
"ENSG00000004975",392,275,451,340,371,268,334,290,479,513,505,394,320,312
"ENSG00000005001",0,0,7,0,0,5,0,0,0,0,1,0,0,0
"ENSG00000005007",628,505,604,681,535,476,728,558,625,660,576,467,292,527
"ENSG00000005020",5164,4559,6243,5942,5268,4679,3917,4758,7032,6034,7251,5955,4526,4437
"ENSG00000005022",58,100,114,228,122,170,198,395,77,91,90,94,56,55
"ENSG00000005059",1034,1364,886,1181,936,742,2973,2264,2182,1800,456,718,871,1525
"ENSG00000005073",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005075",88,76,69,70,108,94,79,124,99,113,46,39,31,132
